Institution Name,Location Classification,Program Type,Land Area (Acres),Number of Classrooms,Number of Tutorial Rooms,Number of PG Labs,Number of Workshops,Computer Center Area (sqm),Library Area (sqm),Seminar Hall Area (sqm),Total Student Intake,Approval Status
Institution_4947,Rural,UG,12.28,16,4,0,12,204,550,132,546,Approved
Institution_6101,Non-Rural,Diploma,0.58,12,3,0,9,257,400,132,322,Not Approved
Institution_5459,Non-Rural,Combined,2.57,12,3,30,6,152,450,132,366,Approved
Institution_7937,Non-Rural,Combined,3.42,12,3,30,9,263,400,132,203,Approved
Institution_3454,Rural,Diploma,3.52,8,2,0,2,190,600,132,127,Not Approved
Institution_7325,Rural,PG,14.4,20,5,50,5,241,400,132,349,Approved
Institution_2550,Rural,Diploma,2.2,4,1,0,1,236,650,132,271,Not Approved
Institution_7826,Rural,PG,9.53,16,4,40,8,150,550,132,136,Not Approved
Institution_1357,Non-Rural,UG,4.7,4,1,0,2,250,550,132,273,Approved
Institution_1770,Non-Rural,PG,2.85,12,3,30,6,279,400,132,514,Approved
Institution_1670,Non-Rural,UG,4.93,16,4,0,16,174,650,132,318,Approved
Institution_7667,Rural,PG,10.29,8,2,20,8,200,650,132,551,Approved
Institution_1617,Non-Rural,PG,3.53,4,1,10,1,267,450,132,450,Approved
Institution_2364,Rural,Diploma,5.71,16,4,0,4,175,450,132,338,Approved
Institution_9818,Non-Rural,Diploma,1.12,20,5,0,5,276,550,132,173,Not Approved
Institution_2988,Non-Rural,UG,3.56,4,1,0,4,140,400,132,208,Not Approved
Institution_3629,Rural,Diploma,5.85,8,2,0,2,168,450,132,476,Approved
Institution_5456,Rural,PG,13.11,12,3,30,12,230,400,132,234,Approved
Institution_5173,Non-Rural,UG,3.1,8,2,0,6,151,550,132,557,Approved
Institution_3600,Non-Rural,UG,2.6,4,1,0,4,232,500,132,230,Approved
Institution_7419,Rural,Combined,7.76,8,2,20,4,270,650,132,479,Approved
Institution_5235,Rural,UG,12.41,12,3,0,6,195,600,132,358,Approved
Institution_6357,Non-Rural,UG,4.88,20,5,0,20,288,450,132,241,Approved
Institution_9494,Rural,Combined,9.32,4,1,10,1,112,650,132,287,Not Approved
Institution_8620,Non-Rural,UG,2.24,4,1,0,4,205,500,132,501,Not Approved
Institution_5601,Rural,UG,6.17,8,2,0,2,228,450,132,163,Not Approved
Institution_5544,Non-Rural,Diploma,0.54,12,3,0,9,300,650,132,416,Not Approved
Institution_8297,Rural,PG,10.55,20,5,50,10,241,500,132,258,Approved
Institution_1210,Non-Rural,UG,1.09,12,3,0,12,185,400,132,432,Not Approved
Institution_5122,Rural,PG,9.14,16,4,40,16,60,400,132,582,Not Approved
Institution_2782,Non-Rural,PG,3.09,8,2,20,4,79,400,132,447,Not Approved
Institution_8669,Non-Rural,PG,3.01,4,1,10,4,66,500,132,297,Not Approved
Institution_1594,Rural,UG,14.72,8,2,0,4,137,550,132,264,Not Approved
Institution_3408,Rural,Diploma,9.35,20,5,0,5,181,400,132,254,Approved
Institution_4537,Non-Rural,PG,2.61,8,2,20,8,269,450,132,524,Approved
Institution_4703,Rural,Combined,9.6,12,3,30,3,209,600,132,245,Approved
Institution_6130,Non-Rural,UG,4.64,16,4,0,16,299,550,132,277,Approved
Institution_5631,Rural,UG,13.93,12,3,0,3,238,400,132,514,Approved
Institution_1640,Rural,Diploma,6.5,8,2,0,2,172,600,132,325,Approved
Institution_6483,Rural,Combined,12.78,16,4,40,8,237,400,132,104,Approved
Institution_1946,Rural,Diploma,6.6,8,2,0,8,226,650,132,279,Approved
Institution_3286,Non-Rural,UG,2.06,20,5,0,15,185,400,132,380,Not Approved
Institution_7057,Non-Rural,Diploma,0.73,8,2,0,6,282,450,132,589,Not Approved
Institution_8702,Rural,Combined,13.21,16,4,40,16,139,400,132,567,Not Approved
Institution_3613,Non-Rural,Diploma,1.07,20,5,0,20,72,400,132,449,Not Approved
Institution_2237,Rural,Combined,8.95,4,1,10,3,270,500,132,162,Approved
Institution_8690,Rural,Diploma,3.77,12,3,0,9,214,500,132,317,Not Approved
Institution_5088,Rural,Combined,5.34,8,2,20,6,182,400,132,340,Approved
Institution_8612,Non-Rural,Combined,4.08,4,1,10,1,121,600,132,548,Not Approved
Institution_2314,Non-Rural,Combined,1.91,8,2,20,4,102,500,132,449,Not Approved
Institution_1918,Rural,Diploma,6.58,12,3,0,9,213,600,132,353,Approved
Institution_2179,Rural,Diploma,9.68,4,1,0,3,74,650,132,429,Not Approved
Institution_5809,Rural,PG,9.54,4,1,10,4,286,450,132,275,Not Approved
Institution_3563,Non-Rural,Combined,2.12,12,3,30,3,153,600,132,180,Approved
Institution_4248,Rural,Diploma,4.33,12,3,0,9,144,600,132,501,Not Approved
Institution_8099,Rural,PG,8.47,8,2,20,6,252,600,132,306,Not Approved
Institution_8280,Non-Rural,UG,0.63,16,4,0,12,51,550,132,102,Not Approved
Institution_7965,Rural,Combined,10.4,20,5,50,10,155,400,132,586,Approved
Institution_8969,Rural,Combined,6.1,4,1,10,1,63,400,132,550,Not Approved
Institution_3042,Rural,Diploma,6.43,12,3,0,9,139,500,132,181,Not Approved
Institution_1865,Non-Rural,UG,4.59,16,4,0,4,293,450,132,512,Approved
Institution_3044,Non-Rural,Combined,4.86,20,5,50,5,259,650,132,222,Approved
Institution_5431,Non-Rural,PG,2.16,16,4,40,4,289,600,132,206,Not Approved
Institution_9710,Rural,PG,14.59,16,4,40,4,103,400,132,264,Not Approved
Institution_2952,Rural,Diploma,9.94,16,4,0,16,256,500,132,225,Approved
Institution_2404,Non-Rural,Diploma,1.17,8,2,0,8,91,550,132,401,Not Approved
Institution_8946,Rural,Combined,8.05,12,3,30,3,260,450,132,307,Approved
Institution_2694,Non-Rural,Combined,4.96,8,2,20,8,99,500,132,277,Not Approved
Institution_8720,Rural,UG,8.87,12,3,0,12,196,600,132,143,Not Approved
Institution_8874,Rural,PG,6.41,4,1,10,3,280,600,132,468,Not Approved
Institution_8500,Rural,PG,13.86,16,4,40,4,85,550,132,218,Not Approved
Institution_6672,Non-Rural,UG,4.15,8,2,0,2,232,600,132,534,Approved
Institution_5675,Rural,Combined,11.67,12,3,30,3,153,550,132,314,Approved
Institution_2109,Non-Rural,UG,4.82,8,2,0,2,251,500,132,425,Approved
Institution_6649,Non-Rural,PG,2.86,16,4,40,8,262,400,132,535,Approved
Institution_9474,Non-Rural,Combined,1.08,16,4,40,4,165,400,132,105,Approved
Institution_5425,Rural,PG,8.74,20,5,50,20,77,650,132,123,Not Approved
Institution_1107,Rural,Diploma,7.45,16,4,0,12,214,550,132,229,Approved
